image,Day,ImageNum,well_01,well_02,well_03,well_04,well_05,well_06,well_07,well_08,well_09,well_10,well_11,well_12
DSS3 R16 T-1.1.png,-1,1,0.0,0.5784698724746704,0.215040385723114,1.086858868598938,0.0,38.058197021484375,0.0,0.325413316488266,8.260376930236816,0.08316801488399506,0.0,2.282414436340332
DSS3 R16 T-1.2.png,-1,2,0.0,1.5384852886199951,5.693333148956299,0.1475740224123001,0.2102883756160736,4.372195243835449,0.0,1.3331642150878906,0.3369319438934326,1.7515572309494019,11.787282943725586,0.0
DSS3 R16 T-3.1.png,-3,1,0.40099963545799255,1.4650213718414307,1.204875111579895,0.36161476373672485,2.0616376399993896,13.939224243164062,18.318401336669922,8.184374809265137,0.0,1.161384105682373,5.765690326690674,1.8962552547454834
DSS3 R16 T-3.2.png,-3,2,2.798647165298462,1.8775856494903564,1.405259370803833,5.849150657653809,15.783069610595703,108.52163696289062,59.34073257446289,1.2061207294464111,0.0,24.73279571533203,7.649843215942383,7.880030632019043
DSS3 R16 T-3.3.png,-3,3,8.327505111694336,0.4319877028465271,0.0,1.2864129543304443,1.8067818880081177,16.080387115478516,0.40785855054855347,13.265098571777344,0.0,0.0,0.0,0.0
DSS3 R16 T-5.1.png,-5,1,1.4775549173355103,0.7416532635688782,1.635432481765747,0.3395463526248932,1.520215392112732,1.95164954662323,2.3048057556152344,2.4546406269073486,1.455824851989746,0.17064207792282104,0.14017686247825623,1.7088043689727783
DSS3 R16 T-5.2.png,-5,2,4.298393249511719,2.3113880157470703,18.309236526489258,2.5620455741882324,0.0,59.32134246826172,5.722768783569336,57.73432159423828,0.5576471090316772,2.8137025833129883,1.4271279573440552,5.860300540924072
DSS3 R16 T-5.3.png,-5,3,0.8596233129501343,55.33072280883789,427.7186279296875,0.0,2.054917335510254,173.4403076171875,778.8111572265625,29.425729751586914,28.752544403076172,39.79695510864258,6.963906288146973,29.977256774902344
DSS3 R16 T-5.4.png,-5,4,11.969058990478516,4.111402988433838,0.0,2.7789623737335205,12.31937026977539,4.027481555938721,40.8845100402832,2.3412227630615234,28.002614974975586,1.1165090799331665,0.8468127846717834,0.0
DSS3 R16 T1.1.png,1,1,1.616147756576538,1442.3309326171875,0.23372551798820496,0.3705652356147766,0.0,0.0,1.2807843685150146,0.0,4.489088535308838,0.2083660215139389,0.3502652943134308,0.0
DSS3 R16 T1.2.png,1,2,0.11484813690185547,0.44482892751693726,0.9290735125541687,2.915632724761963,0.49407151341438293,8.855470657348633,0.4226067066192627,0.757185697555542,0.7497116327285767,7.383437633514404,5.5724263191223145,0.8622376322746277
DSS3 R16 T1.3.png,1,3,0.51910799741745,1.5349022150039673,0.8784621953964233,1.3108956813812256,5.702361106872559,0.6511956453323364,2.3454055786132812,4.153341293334961,9.404691696166992,25.009288787841797,0.08143021911382675,0.0
DSS3 R16 T11.1.png,11,1,12.912433624267578,7.364459991455078,2.083460569381714,5.437308311462402,12.757909774780273,0.8441215753555298,24.399431228637695,38.706634521484375,1.146897315979004,16.167335510253906,157.53746032714844,5.207242965698242
DSS3 R16 T11.2.png,11,2,1.1800692081451416,106.26544189453125,6.098546981811523,42.632972717285156,1.0511343479156494,94.96896362304688,4.2308807373046875,4.984037399291992,79.43621826171875,53.226715087890625,45.58863830566406,0.08556709438562393
DSS3 R16 T11.3.png,11,3,2.1466822624206543,12.606491088867188,2.141453504562378,0.4045674800872803,14.430635452270508,107.26453399658203,87.5740966796875,0.6705113649368286,17.91260528564453,211.88082885742188,191.65321350097656,11.948297500610352
DSS3 R16 T11.4.png,11,4,2.616793632507324,19.913387298583984,4.6431684494018555,0.443952351808548,79.19635772705078,90.14788818359375,275.9881286621094,3.6763246059417725,5.471834182739258,2.8280203342437744,0.0,0.0
DSS3 R16 T13.1.png,13,1,1.028419852256775,120.7486343383789,256.8746643066406,0.0,0.0,2.016132354736328,2.003014326095581,5.840984344482422,0.7259054780006409,0.0,0.42998847365379333,0.6011226177215576
DSS3 R16 T13.2.png,13,2,1.0544407367706299,3.1707804203033447,1.4815993309020996,0.0,257.6658935546875,2.5713958740234375,10.632833480834961,0.07753941416740417,182.11911010742188,3.4360787868499756,0.892072319984436,104.82764434814453
DSS3 R16 T13.3.png,13,3,58.08903121948242,1.9659976959228516,80.31999206542969,25.950960159301758,502.8067626953125,179.14871215820312,4.689611434936523,1.5219841003417969,0.26954251527786255,2.759969472885132,1.9423606395721436,1.3263976573944092
DSS3 R16 T13.4.png,13,4,6.357539653778076,228.002685546875,166.69772338867188,0.2288658320903778,9.969535827636719,156.2324676513672,7.224559783935547,0.0,0.0,0.0,0.0,0.0
DSS3 R16 T15.1.png,15,1,3.7002384662628174,168.41189575195312,4.384791374206543,0.2605152130126953,2.0086889266967773,533.2296142578125,8.063176155090332,12.43220329284668,11.136716842651367,6.435309886932373,4.052610874176025,2.121476411819458
DSS3 R16 T15.2.png,15,2,2.103299140930176,36.557159423828125,8.173595428466797,1.533994436264038,7.499484539031982,99.57865905761719,362.1527099609375,1.0353095531463623,181.3290252685547,245.33779907226562,6.781791687011719,427.8612365722656
DSS3 R16 T15.3.png,15,3,1.7962169647216797,6.415563106536865,1.0295886993408203,0.5703344941139221,1.8516110181808472,764.1172485351562,13.871649742126465,4.081661224365234,28.054765701293945,11.791696548461914,0.0,0.0
DSS3 R16 T3.1.png,3,1,0.34220683574676514,67.48309326171875,613.4320678710938,0.8071665167808533,4.7307963371276855,6.167366027832031,141.7235870361328,1.6893812417984009,1.1459285020828247,2.926351308822632,1.5633985996246338,2.0983009338378906
DSS3 R16 T3.2.png,3,2,209.45108032226562,0.0,7.375102519989014,0.13116493821144104,0.7881737947463989,56.017982482910156,243.1333465576172,0.24625913798809052,0.23224914073944092,3.2073974609375,13.057685852050781,0.8506113290786743
DSS3 R16 T3.3.png,3,3,1.392464518547058,0.3503883183002472,0.23091118037700653,1.2760478258132935,1468.84375,20.75955581665039,0.031188005581498146,0.49079588055610657,0.0,31.656024932861328,0.0,15.745989799499512
DSS3 R16 T3.4.png,3,4,17.838171005249023,40.18204116821289,0.0,0.08815071731805801,7.117402076721191,83.67628479003906,0.0,0.12418300658464432,0.0,0.0,0.0,0.0
DSS3 R16 T5.1.png,5,1,0.1389465630054474,0.23052671551704407,0.045582469552755356,0.38618993759155273,0.0,0.7687042951583862,0.0,0.0,1.3672587871551514,0.0,0.0,0.0
DSS3 R16 T5.2.png,5,2,1.8270667791366577,0.04238370060920715,0.0,3716.283447265625,2.6035215854644775,1.9390389919281006,1.3393462896347046,3.1619532108306885,0.03478662297129631,1.2846288681030273,10.030851364135742,0.0
DSS3 R16 T5.3.png,5,3,138.2149658203125,0.570380687713623,0.0,0.5917878150939941,0.4782622456550598,0.8926259875297546,2.8610382080078125,0.35790854692459106,0.0,51.071067810058594,1.2836601734161377,0.0
DSS3 R16 T7.1.png,7,1,55.4185791015625,4.712218761444092,3.8150253295898438,9.907512664794922,0.23271051049232483,921.7025146484375,98.7386245727539,0.0,0.0,4.116125106811523,0.0,20.826345443725586
DSS3 R16 T7.2.png,7,2,2.215009927749634,3.6725106239318848,0.0,2.5468051433563232,39.57831573486328,1.1352249383926392,0.0,0.13899271190166473,0.0,1.8641293048858643,2.2870898246765137,15.945637702941895
DSS3 R16 T7.3.png,7,3,7.847490310668945,29.89364242553711,15.384838104248047,0.33856213092803955,1.6368169784545898,1.8983469009399414,0.17058053612709045,1.306020736694336,0.7403613924980164,1415.0692138671875,0.0,0.7987543940544128
DSS3 R16 T9.1.png,9,1,20.184978485107422,300.4051513671875,44.24006271362305,240.42306518554688,530.7657470703125,1103.9830322265625,155.7431640625,26.690597534179688,2321.78857421875,401.3575439453125,22.62265396118164,16.009029388427734
DSS3 R16 T9.2.png,9,2,7.247289657592773,12.405782699584961,288.6550598144531,505.66552734375,87.9572982788086,23.184131622314453,19.799537658691406,13.687150955200195,24.08672332763672,272.55279541015625,114.99345397949219,20.311866760253906
DSS3 R16 T9.3.png,9,3,6.865621566772461,46.43714141845703,137.69808959960938,58.706382751464844,159.80458068847656,76.24620056152344,74.00209045410156,2314.776611328125,547.6077880859375,82.20693969726562,1235.532958984375,1.4392309188842773
DSS3 R16 T9.4.png,9,4,22.56399917602539,13.498947143554688,99.41911315917969,191.84286499023438,3.0811078548431396,62.08573913574219,79.39515686035156,21.155540466308594,15.643661499023438,82.00384521484375,30.66033172607422,16.543699264526367
